"filename", "language", "JSON", "TypeScript", "JSON with Comments", "Handlebars", "Markdown", "JavaScript", "comment", "blank", "total"
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\nacionality\dto\create-nacionality.dto.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\nacionality\dto\update-nacionality.dto.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\nacionality\entities\nacionality.entity.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 9, 27
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\nacionality\nacionality.controller.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 1, 9, 45
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\nacionality\nacionality.module.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\nacionality\nacionality.service.ts", "TypeScript", 0, 65, 0, 0, 0, 0, 1, 13, 79
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\resources\dto\create-resource.dto.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 4, 14
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\resources\entities\image.entity.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 5, 18
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\resources\entities\resource.entity.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 6, 20
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\resources\resources.controller.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 7, 44
